ID,type,q_place_1,q_place_type_1,parent_hierarchy1,hierarchy_types_1,places 2,places 3,places 4,places 5,places 6,places 7
2015.a.3.2.8,tossup + bonus,Netherlands,primary political entities,Europe,continents,,,,,,
2015.a.3.3.lightning.1.1,,Jerusalem,cities,Asia,continents,,,,,,
2015.a.3.3.lightning.1.3,,Jerusalem,cities,Asia,continents,,,,,,
2015.a.3.3.lightning.1.4,lightning,Malta,primary political entities,Europe,continents,,,,,,
2015.a.3.3.lightning.1.6,,Jerusalem,cities,Asia,continents,,,,,,
2015.a.3.3.lightning.2.1,lightning,United States,primary political entities,North and Central America,continents,,,,,,
2015.a.3.3.lightning.2.2,lightning,United States,primary political entities,North and Central America,continents,,,,,,
2015.a.3.3.lightning.2.3,lightning,Soviet Union,former primary political entities,Asia,continents,,,,,,
2015.a.3.3.lightning.2.4,lightning,France,primary political entities,Europe,continents,Britain,,,,,
2015.a.3.3.lightning.2.8,,Massachusetts,states (political divisions),North and Central America,continents,,,,,,
2015.a.3.3.lightning.3.1,lightning,France,primary political entities,Europe,continents,,,,,,
2015.a.3.3.lightning.3.3,,Nebraska,states (political divisions),North and Central America,continents,,,,,,
2015.a.3.4.1,tossup,Egypt,primary political entities,Africa,continents,India,,,,,
2015.a.3.4.2,tossup,Brazil,primary political entities,South America,continents,,,,,,
2015.a.3.4.3,,North Carolina,states (political divisions),North and Central America,continents,,,,,,
2015.a.3.4.4,,Tashkent,national capitals,Asia,continents,,,,,,
2015.a.3.4.7,,Paris,cities,Europe,continents,,,,,,
2015.a.3.4.8,,Antwerp,seaports,Europe,continents,,,,,,
2015.a.4.1.1,,Zürich,cantons (administrative bodies),Europe,continents,,,,,,
2015.a.4.1.2,,Moravia,general regions,Europe,continents,,,,,,
2015.a.4.1.4,,New York,cities,North and Central America,continents,,,,,,
2015.a.4.1.6,tossup,India,primary political entities,Asia,continents,,,,,,
2015.a.4.1.7,,Southampton,,North and Central America,continents,,,,,,
2015.a.4.1.8,,Kentucky,states (political divisions),North and Central America,continents,,,,,,
2015.a.4.1.9,tossup,United States,primary political entities,North and Central America,continents,Virginia,,,,,
2015.a.4.2.1,tossup + bonus,West Germany,former primary political entities,Europe,continents,the United States,London,,,,
2015.a.4.2.3,,Athens,cities,Europe,continents,,,,,,
2015.a.4.2.4,,New York,cities,North and Central America,continents,,,,,,
2015.a.4.2.6,,Utica,deserted settlements,Africa,continents,,,,,,
2015.a.4.2.7,,Covadonga,,Europe,continents,,,,,,
2015.a.4.3.lightning.1.1,lightning,France,primary political entities,Europe,continents,,,,,,
2015.a.4.3.lightning.1.3,lightning,Spain,primary political entities,Europe,continents,Austria,,,,,
2015.a.4.3.lightning.1.4,lightning,Spain,primary political entities,Europe,continents,,,,,,
2015.a.4.3.lightning.1.7,,Oxfordshire,Anglo-Saxon (culture or style),Europe,continents,,,,,,
2015.a.4.3.lightning.2.1,lightning,India,primary political entities,Asia,continents,,,,,,
2015.a.4.3.lightning.3.3,,Athens,cities,Europe,continents,,,,,,
2015.a.4.3.lightning.3.4,,Athens,cities,Europe,continents,,,,,,
2015.a.4.3.lightning.3.6,,Sparta,towns,Europe,continents,,,,,,
2015.a.4.3.lightning.3.7,,Sparta,towns,Europe,continents,,,,,,
2015.a.4.3.lightning.3.8,,Athens,cities,Europe,continents,,,,,,
2015.a.4.4.2,tossup,United Kingdom,primary political entities,Europe,continents,Special Administrative Region,China,,,,
2015.a.4.4.3,tossup,Nicaragua,primary political entities,North and Central America,continents,,,,,,
2015.a.4.4.6,tossup,Panama,primary political entities,North and Central America,continents,,,,,,
2015.a.4.4.7,,Varna,commercial centers (inhabited places),Europe,continents,,,,,,
2015.a.4.4.8,,Greenville,,North and Central America,continents,,,,,,
2015.a.5.1.2,,Alesia,fortified settlements,Europe,continents,,,,,,
2015.a.5.1.5,tossup,Turkey,primary political entities,Asia,continents,the United States,,,,,
2015.a.5.1.7,tossup,Cuba,primary political entities,North and Central America,continents,,,,,,
2015.a.5.1.8,,Southwark,,Europe,continents,,,,,,
2015.a.5.1.9,tossup,United States,primary political entities,North and Central America,continents,Mexico,Florida,,,,
2015.a.5.1.10,tossup,Spain,primary political entities,Europe,continents,,,,,,
2015.a.5.2.2,tossup + bonus,Belgium,primary political entities,Europe,continents,,,,,,
2015.a.5.2.3,,Lydia,general regions,Asia,continents,,,,,,
2015.a.5.2.5,tossup + bonus,Israel,primary political entities,Asia,continents,Buenos Aires,,,,,
2015.a.5.2.6,,Carson City,,North and Central America,continents,,,,,,
2015.a.5.2.7,tossup + bonus,Kuwait,primary political entities,Asia,continents,,,,,,
2015.a.5.2.8,,Portsmouth,,North and Central America,continents,,,,,,
2015.a.5.3.lightning.1.8,lightning,France,primary political entities,Europe,continents,,,,,,
2015.a.5.3.lightning.2.3,,Jackson,,North and Central America,continents,,,,,,
2015.a.5.3.lightning.2.6,lightning,United States,primary political entities,North and Central America,continents,,,,,,
2015.a.5.3.lightning.2.8,,Kentucky,states (political divisions),North and Central America,continents,,,,,,
2015.a.5.3.lightning.3.1,lightning,Israel,primary political entities,Asia,continents,,,,,,
2015.a.5.3.lightning.3.3,lightning,Israel,primary political entities,Asia,continents,,,,,,
2015.a.5.3.lightning.3.4,lightning,Israel,primary political entities,Asia,continents,,,,,,
2015.a.5.4.3,,Port Harcourt,industrial centers (inhabited places),Africa,continents,,,,,,
2015.a.5.4.4,,San Lorenzo,historic sites,North and Central America,continents,,,,,,
2015.a.5.4.5,,Chenango,,North and Central America,continents,,,,,,
2015.a.5.4.6,,Alaska,states (political divisions),North and Central America,continents,,,,,,
2015.a.5.4.7,,Washington Heights,,North and Central America,continents,,,,,,
2015.a.5.4.8,,London,Romano-British,Europe,continents,,,,,,
2015.nationals.1.1.1,,Midlothian,counties,Europe,continents,,,,,,
2015.nationals.1.1.2,tossup,Gaul,historical regions,Europe,continents,,,,,,
2015.nationals.1.1.3,tossup,United Kingdom,primary political entities,Europe,continents,the United States,,,,,
2015.nationals.1.1.7,,Barfleur,,Europe,continents,,,,,,
2015.nationals.1.1.8,,Manhattan,financial centers,North and Central America,continents,,,,,,
2015.nationals.1.2.1,,Morristown,,North and Central America,continents,,,,,,
2015.nationals.1.2.2,,New York,states (political divisions),North and Central America,continents,,,,,,
2015.nationals.1.2.4,,Édhessa,,Europe,continents,,,,,,
2015.nationals.1.2.7,,Baguio City,resorts,Asia,continents,,,,,,
2015.nationals.1.3.lightning.3.1,lightning,Australia,primary political entities,Oceania,continents,,,,,,
2015.nationals.1.4.1,,California,states (political divisions),North and Central America,continents,,,,,,
2015.nationals.1.4.2,,Biafra,,Africa,continents,,,,,,
2015.nationals.1.4.3,,Philadelphia,national capitals,North and Central America,continents,,,,,,
2015.nationals.1.4.4,tossup,Russia,primary political entities,Asia,continents,,,,,,
2015.nationals.1.4.8,,Brighton,towns,Europe,continents,,,,,,
2015.nationals.2.1.1,,Trenton,manufacturing centers,North and Central America,continents,,,,,,
2015.nationals.2.1.2,tossup,German Democratic Republic,former primary political entities,Europe,continents,,,,,,
2015.nationals.2.1.3,,Liverpool,regional capitals,Europe,continents,,,,,,
2015.nationals.2.1.6,,Illinois,states (political divisions),North and Central America,continents,,,,,,
2015.nationals.2.1.7,,Great Britain,,Europe,continents,,,,,,
2015.nationals.2.2.1,,Pennsylvania,states (political divisions),North and Central America,continents,,,,,,
2015.nationals.2.2.3,,Saxony,duchies,Europe,continents,,,,,,
2015.nationals.2.2.6,tossup + bonus,Japan,primary political entities,Asia,continents,,,,,,
2015.nationals.2.2.7,,Athens,cities,Europe,continents,,,,,,
2015.nationals.2.2.8,tossup + bonus,United States,primary political entities,North and Central America,continents,California,,,,,
2015.nationals.2.3.lightning.1.5,lightning,United States,primary political entities,North and Central America,continents,,,,,,
2015.nationals.2.3.lightning.1.7,,Ohio,states (political divisions),North and Central America,continents,,,,,,
2015.nationals.2.3.lightning.2.1,lightning,China,primary political entities,Asia,continents,,,,,,
2015.nationals.2.3.lightning.2.3,lightning,China,primary political entities,Asia,continents,,,,,,
2015.nationals.2.3.lightning.2.4,lightning,Korea,former primary political entities,Asia,continents,,,,,,
2015.nationals.2.3.lightning.3.1,,Chornobyl',,Europe,continents,,,,,,
2015.nationals.2.3.lightning.3.2,lightning,Russia,primary political entities,Asia,continents,South Ossetia,,,,,
2015.nationals.2.3.lightning.3.3,lightning,Soviet Union,former primary political entities,Asia,continents,,,,,,
2015.nationals.2.3.lightning.3.4,,Volgograd,manufacturing centers,Asia,continents,,,,,,
2015.nationals.2.3.lightning.3.7,lightning,Romania,primary political entities,Europe,continents,,,,,,
2015.nationals.2.4.1,,Salisbury,,North and Central America,continents,,,,,,
2015.nationals.2.4.2,,Tel Aviv-Jaffa,district capitals,Asia,continents,,,,,,
2015.nationals.2.4.3,,Rome,archaeological sites,Europe,continents,,,,,,
2015.nationals.2.4.7,,Dimashq City,,Asia,continents,,,,,,
2015.nationals.2.4.8,tossup,Brazil,primary political entities,South America,continents,,,,,,
2015.nationals.2.extra.1,tossup,France,primary political entities,Europe,continents,Portugal,,,,,
2015.nationals.3.1.3,,Fort McHenry,historic structures,North and Central America,continents,,,,,,
2015.nationals.3.1.4,,Edinburgh,educational centers (buildings),Europe,continents,,,,,,
2015.nationals.3.1.5,,Indiana,states (political divisions),North and Central America,continents,,,,,,
2015.nationals.3.1.6,,Baghdad,capitals (seats of government),Asia,continents,,,,,,
2015.nationals.3.2.2,,Massachusetts,states (political divisions),North and Central America,continents,,,,,,
2015.nationals.3.2.6,tossup + bonus,Persia,historical regions,Asia,continents,,,,,,
2015.nationals.3.2.8,tossup + bonus,United States,primary political entities,North and Central America,continents,Kuwait,,,,,
2015.nationals.3.3.lightning.1.1,lightning,United States,primary political entities,North and Central America,continents,,,,,,
2015.nationals.3.3.lightning.1.5,lightning,United States,primary political entities,North and Central America,continents,,,,,,
2015.nationals.3.3.lightning.2.2,,Menlo Park,,North and Central America,continents,,,,,,
2015.nationals.3.3.lightning.2.3,,Belgrade,first level subdivisions (political entities),Europe,continents,,,,,,
2015.nationals.3.3.lightning.3.3,,Arsuf,,Asia,continents,,,,,,
2015.nationals.3.3.lightning.3.4,,Jerusalem,cities,Asia,continents,,,,,,
2015.nationals.3.3.lightning.3.7,,Jerusalem,cities,Asia,continents,,,,,,
2015.nationals.3.4.1,,Michigan,states (political divisions),North and Central America,continents,,,,,,
2015.nationals.3.4.4,,Rano Raraku,quarries (extracting complexes),South America,continents,,,,,,
2015.nationals.3.4.5,,Paris,cities,Europe,continents,,,,,,
2015.nationals.3.4.6,,Sarajevo,cities,Europe,continents,,,,,,
2015.nationals.4.1.1,,Kinsale,,Europe,continents,,,,,,
2015.nationals.4.1.2,,Stolbovo,,Asia,continents,,,,,,
2015.nationals.4.1.3,,Virginia,states (political divisions),North and Central America,continents,,,,,,
2015.nationals.4.1.4,,England,first level subdivisions (political entities),Europe,continents,,,,,,
2015.nationals.4.1.7,tossup,Uganda,primary political entities,Africa,continents,,,,,,
2015.nationals.4.2.2,tossup + bonus,United States,primary political entities,North and Central America,continents,,,,,,
2015.nationals.4.2.3,tossup + bonus,France,primary political entities,Europe,continents,,,,,,
2015.nationals.4.2.4,,Moscow,cities,Asia,continents,,,,,,
2015.nationals.4.2.5,tossup + bonus,Italy,primary political entities,Europe,continents,Trebia,,,,,
