"","ID","places","lattitude","longitude"
"691","2021.c.2.2.3","New York",40.7127281,-74.0060152
"692","2021.c.2.2.4","India",22.3511148,78.6677428
"693","2021.c.2.2.4","Harappan",30.97156505,76.5242079807131
"694","2021.c.2.2.4","Bronze",38.98272245,-95.2682691374047
"695","2021.c.2.2.5","Sicily",37.587794,14.155048
"696","2021.c.2.2.6","Fort Stanwix",43.21057495,-75.455287308598
"697","2021.c.2.2.6","West Point",41.3558443,-74.0078312251273
"698","2021.c.2.2.8","England",52.5310214,-1.2649062
"699","2021.c.2.2.8","U.S.",51.4376108,7.3303862
"700","2021.c.2.3.lightning.1.1","Illinois city",41.3975305,-90.8995898
"701","2021.c.2.3.lightning.1.2","U.S.",51.4376108,7.3303862
"702","2021.c.2.3.lightning.2.2","Austria",47.59397,14.12456
"703","2021.c.2.3.lightning.2.3","Spain",39.3260685,-4.8379791
"704","2021.c.2.3.lightning.2.3","Barcelona",41.3828939,2.1774322
"705","2021.c.2.3.lightning.2.5","Breitenfeld",52.5686016,11.2534292
"706","2021.c.2.3.lightning.2.7","France",46.603354,1.8883335
"707","2021.c.2.3.lightning.2.8","Magdeburg",52.1315889,11.6399609
"708","2021.c.2.3.lightning.3.2","Iraq",33.0955793,44.1749775
"709","2021.c.2.3.lightning.3.4","Egypt",26.2540493,29.2675469
"710","2021.c.2.4.1","Berkeley",37.8708393,-122.272863
"711","2021.c.2.4.1","California",36.7014631,-118.755997
"712","2021.c.2.4.1","the United States",47.8287874669091,-122.598947831237
"713","2021.c.2.4.3","U.S.",51.4376108,7.3303862
"714","2021.c.2.4.3","Florida",27.7567667,-81.4639835
"715","2021.c.2.4.3","the United States",47.8287874669091,-122.598947831237
"716","2021.c.2.4.4","England",52.5310214,-1.2649062
"717","2021.c.2.4.4","Silesia",45.5564801,-108.8413108
"718","2021.c.2.4.4","Prussia",41.3738765,-94.506357
"719","2021.c.2.4.5","Argentina",-34.9964963,-64.9672817
"720","2021.c.2.4.5","Uruguay",-32.8755548,-56.0201525
"721","2021.c.2.4.8","North and South Islands",53.9553220429955,-1.0704241036252
"722","2021.c.2.4.8","Auckland",-36.852095,174.7631803
"723","2021.c.2.4.8","Oceania",-12.7725835,173.7741688
"724","2021.c.2.extra.1","Ignalina",55.3398975,26.1614043
"725","2021.c.2.extra.1","Lithuania",55.3500003,23.7499997
"726","2021.c.2.extra.1","Pripyat",51.8559923321969,25.4326834903218
"727","2021.c.2.extra.1","Ukraine",49.4871968,31.2718321
"728","2021.c.3.1.1","U.S.",51.4376108,7.3303862
