"","a_text","n"
"328","Qin Er Shi",1
"329","Qin Shi Huang",1
"330","Ramayana",1
"331","Reconquista",1
"332","Roald Amundsen",1
"333","Robber Baron",1
"334","Robert F. Wagner",1
"335","Robert Moses",1
"336","Robert Peel",1
"337","Robert Walpole First Earl of Oxford",1
"338","Ronald Reagan",1
"339","Runaway Scrape",1
"340","Russian Serfs",1
"341","Rutherford B. Hayes",1
"342","S.S. Andrea Doria",1
"343","Sahara Desert",1
"344","Saint Cyril",1
"345","Salvador Dalí",1
"346","Samuel Houston",1
"347","San Francisco 49ers",1
"348","Santa Claus",1
"349","Sappho",1
"350","Scopes monkey trial",1
"351","Scottish independence",1
"352","Senator from Minnesota",1
"353","Seneca Falls Convention",1
"354","Sepoy Mutiny",1
"355","Serfs",1
"356","Sharpeville Massacre",1
"357","Sher Shah",1
"358","Shiva",1
"359","Shivaji Bonsle",1
"360","Sigmund Freud",1
"361","Sima Qian",1
"362","Simón Bolivar",1
"363","Sir Isaac Newton",1
"364","Sonia Sotomayor",1
"365","Soviet nuclear program",1
"366","Spain",1
"367","Stanford University",1
"368","Stephen Austin",1
"369","Stephen Hawking",1
"370","Steve Biko",1
"371","Stonewall Inn",1
"372","Susanna Dickinson",1
"373","Tet Offensive",1
"374","Theodore Roosevelt",1
"375","Thomas Edison",1
"376","Thomas Jefferson",1
"377","Thomas Paine",1
"378","Thomas Stonewall Jackson",1
"379","Thorstein Veblen",1
"380","Three-Fifths Compromise",1
"381","Thurgood Marshall",1
"382","Timothy McVeigh",1
"383","Tokugawa Ieyasu",1
"384","Tony Blair",1
"385","Trans-Siberian Railway",1
"386","Ty Cobb",1
"387","US Supreme Court building",1
"388","USS Maine",1
"389","USS Missouri",1
"390","Ulysses S. Grant",1
"391","Ural Mountains",1
"392","Valeriano Weyler",1
"393","Valhalla",1
"394","Valley Forge",1
"395","Veracruz",1
"396","Vesta",1
"397","Via Appia",1
"398","Vidkun Quisling",1
"399","Viet Cong",1
"400","Virginia",1
"401","Vitus Bering",1
"402","Vladimir Ilyich Lenin",1
"403","W.E.B. Du Bois",1
"404","Walter Scott",1
"405","Walter Ulbricht",1
"406","Wang Mang",1
"407","Watergate scandal",1
"408","Werner Heisenburg",1
"409","Whistle",1
"410","William Ewart Gladstone",1
"411","William Halsey",1
"412","William Howard Taft",1
"413","William III",1
"414","William Makepeace Thackeray",1
"415","William Rehnquist",1
"416","William Shakespeare",1
"417","Willliam Barrett Travis",1
"418","Wojciech Jaruzelski",1
"419","Woodrow Wilson",1
"420","World Health Organization",1
"421","World War I",1
"422","X-Ray",1
"423","Yellow Turban Rebellion",1
"424","Yo-Yo Ma",1
"425","ZANU-PF",1
"426","Zeus",1
"427","Zheng He",1
"428","assassination of Abraham Lincoln",1
"429","assassination of Robert F. Kennedy",1
"430","coal",1
"431","cowboy",1
"432","death of Joseph Stalin",1
"433","electric car",1
"434","electrons",1
"435","marijuana",1
"436","neutrinos",1
"437","oxygen",1
"438","sinking of the RMS Titanic",1
"439","tapu",1
"440","war chariots",1
