ID,type,q_place_1,q_place_type_1,parent_hierarchy_1,hierarchy_types_1,q_place_2,q_place_type_2,parent_hierarchy_2,hierarchy_types_2,q_place_3plus,q_place_type_3,parent_hierarchy_3,hierarchy_types_3
2015.a.2.1.3,tossup,,,,,,,,,,,,
2015.a.2.1.4,tossup,,,,,France,primary political entities,Europe,continents,,,,
2015.a.2.1.4,,,,,,,republics,World,areas (geography),,,,
2015.a.2.1.4,,,,,,,empires (sovereign states),,facets (controlled vocabulary),,,,
2015.a.2.1.4,,,,,,,nations,,,,,,
2015.a.2.1.4,,,,,,,independent political entities,,,,,,
2015.a.2.1.4,,,,,,,independent sovereign nations,,,,,,
2015.a.2.1.4,,,,,,,monarchies,,,,,,
2015.a.2.1.5,tossup,,,,,,,,,,,,
2015.a.2.1.6,tossup,Hejaz,general regions,Al Madīnah al Munawwarah,,,,,,Mecca,inhabited places,Makkah al Mukarramah,
2015.a.2.1.6,,,,Saudi Arabia,primary political entities,,,,,,cities,Saudi Arabia,primary political entities
2015.a.2.1.6,,,,,,,,,,,,,nations
2015.a.2.1.6,,,,,,,,,,,,,independent political entities
2015.a.2.1.6,,,,,,,,,,,,,independent sovereign nations
2015.a.2.1.6,,,,,,,,,,,,,kingdoms (political administrative bodies)
2015.a.2.1.6,,Hejaz,,Saudi Arabia,nations,,,,,,national capitals,Asia,continents
2015.a.2.1.6,,,,,independent political entities,,,,,,provincial capitals,World,areas (geography)
2015.a.2.1.6,,,,,independent sovereign nations,,,,,,religious centers,,facets (controlled vocabulary)
2015.a.2.1.6,,,,,kingdoms (political administrative bodies),,,,,,,,
2015.a.2.1.6,,,,Asia,continents,,,,,,,,
2015.a.2.1.6,,,,World,areas (geography),,,,,,,,
2015.a.2.1.6,,,,,facets (controlled vocabulary),,,,,,,,
2015.a.2.1.6,,,,,,,,,,,,,
2015.a.2.1.6,,,,,,,,,,,,,
2015.a.2.1.6,,,,,,,,,,,,,
2015.a.2.1.6,,,,,,,,,,,,,
2015.a.2.1.6,,,,,,,,,,,,,
2015.a.2.1.7,tossup,,,,,,,,,,,,
2015.a.2.1.8,tossup,Jerusalem,inhabited places,Jerusalem,,Berlin,inhabited places,Schleswig-Holstein,,,,,
2015.a.2.1.8,,,,,,,,Germany,primary political entities,,,,
2015.a.2.1.8,,,,,,,,,republics,,,,
2015.a.2.1.8,,,,,,,,,nations,,,,
2015.a.2.1.8,,,,,,,,,independent political entities,,,,
2015.a.2.1.8,,,,,,,,,independent sovereign nations,,,,
2015.a.2.1.8,,,,,,,,Europe,continents,,,,
2015.a.2.1.8,,,,,,,,World,areas (geography),,,,
2015.a.2.1.8,,,,,,,,,facets (controlled vocabulary),,,,
2015.a.2.1.8,,Jerusalem,archaeological sites,Israel,primary political entities,,,,,,,,
2015.a.2.1.8,,,,,republics,,,,,,,,
2015.a.2.1.8,,,,,nations,,,,,,,,
2015.a.2.1.8,,,,,independent political entities,,,,,,,,
2015.a.2.1.8,,,,,independent sovereign nations,,,,,,,,
2015.a.2.1.8,,,cities,Asia,continents,,,,,,,,
2015.a.2.1.8,,,district capitals,World,areas (geography),,,,,,,,
2015.a.2.1.8,,,national capitals,,facets (controlled vocabulary),,,,,,,,
2015.a.2.1.8,,,educational centers (buildings),,,,,,,,,,
2015.a.2.1.8,,,commercial centers (inhabited places),,,,,,,,,,
2015.a.2.1.8,,,religious centers,,,,,,,,,,
2015.a.2.1.8,,,financial centers,,,,,,,,,,
2015.a.2.1.8,,,historic sites,,,,,,,,,,
2015.a.2.1.8,,,industrial centers (inhabited places),,,,,,,,,,
2015.a.2.1.8,,,transportation centers (inhabited places),,,,,,,,,,
2015.a.2.1.8,,,pilgrimage centers,,,,,,,,,,
2015.a.2.1.8,,,tourist centers,,,,,,,,,,
2015.a.2.1.9,tossup,Talbot,second level subdivisions (political entities),Maryland,,,,,,,,,
2015.a.2.1.9,,,counties,United States,primary political entities,,,,,,,,
2015.a.2.1.9,,,,,nations,,,,,,,,
2015.a.2.1.9,,,,,independent political entities,,,,,,,,
2015.a.2.1.9,,,,,independent sovereign nations,,,,,,,,
2015.a.2.1.9,,,,North and Central America,continents,,,,,,,,
2015.a.2.1.9,,,,World,areas (geography),,,,,,,,
2015.a.2.1.9,,,,,facets (controlled vocabulary),,,,,,,,
2015.a.2.1.10,tossup,,,,,,,,,Great Britain,islands (landforms),United Kingdom,primary political entities
2015.a.2.1.10,,,,,,,,,,,,,nations
2015.a.2.1.10,,,,,,,,,,,,,independent political entities
2015.a.2.1.10,,,,,,,,,,,,,independent sovereign nations
2015.a.2.1.10,,,,,,,,,,,,,constitutional monarchies
2015.a.2.2.1,tossup + bonus,,,,,,,,,,,Europe,continents
2015.a.2.2.1,,,,,,,,,,,,World,areas (geography)
2015.a.2.2.1,,,,,,,,,,,,,facets (controlled vocabulary)
2015.a.2.2.2,tossup + bonus,Israel,primary political entities,Asia,continents,District of Columbia,first level subdivisions (political entities),United States,primary political entities,Washington,first level subdivisions (political entities),United States,primary political entities
2015.a.2.2.2,,,,,,,,,,,,,nations
2015.a.2.2.2,,,,,,,,,,,,,independent political entities
2015.a.2.2.2,,,,,,,,,,,,,independent sovereign nations
2015.a.2.2.2,,,,,,,,,,,states (political divisions),North and Central America,continents
2015.a.2.2.2,,,,,,,,,,,,World,areas (geography)
2015.a.2.2.2,,,,,,,,,,,,,facets (controlled vocabulary)
2015.a.2.2.2,,,,,,,national districts,,nations,Colorado,first level subdivisions (political entities),United States,primary political entities
2015.a.2.2.2,,,,,,,,,,,,,nations
2015.a.2.2.2,,,,,,,,,,,,,independent political entities
2015.a.2.2.2,,,,,,,,,,,,,independent sovereign nations
2015.a.2.2.2,,,,,,,,,independent political entities,,states (political divisions),North and Central America,continents
2015.a.2.2.2,,,,,,,,,independent sovereign nations,,,World,areas (geography)
2015.a.2.2.2,,,,,,,,North and Central America,continents,,,,facets (controlled vocabulary)
2015.a.2.2.2,,,,,,,,World,areas (geography),,,,
2015.a.2.2.2,,,,,,,,,facets (controlled vocabulary),,,,
2015.a.2.2.2,,Israel,republics,World,areas (geography),,,,,,,,
2015.a.2.2.2,,,nations,,facets (controlled vocabulary),,,,,,,,
2015.a.2.2.2,,,independent political entities,,,,,,,,,,
2015.a.2.2.2,,,independent sovereign nations,,,,,,,,,,
2015.a.2.2.3,tossup + bonus,,,,,,,,,,,,
2015.a.2.2.4,tossup + bonus,Massachusetts,first level subdivisions (political entities),United States,primary political entities,,,,,,,,
2015.a.2.2.4,,,,,nations,,,,,,,,
2015.a.2.2.4,,,,,independent political entities,,,,,,,,
2015.a.2.2.4,,,,,independent sovereign nations,,,,,,,,
2015.a.2.2.4,,,states (political divisions),North and Central America,continents,,,,,,,,
2015.a.2.2.4,,,,World,areas (geography),,,,,,,,
2015.a.2.2.4,,,,,facets (controlled vocabulary),,,,,,,,
2015.a.2.2.4,,,,,,,,,,,,,
2015.a.2.2.4,,,,,,,,,,,,,
2015.a.2.2.4,,,,,,,,,,,,,
2015.a.2.2.5,tossup + bonus,,,,,,,,,,,,
2015.a.2.2.6,tossup + bonus,,,,,Bavaria,first level subdivisions (political entities),Germany,primary political entities,Pannonia,first level subdivisions (political entities),Europe,continents
2015.a.2.2.6,,,,,,,republics,,republics,,former administrative divisions,World,areas (geography)
2015.a.2.2.6,,,,,,,duchies,,nations,,general regions,,facets (controlled vocabulary)
2015.a.2.2.6,,,,,,,kingdoms (political administrative bodies),,independent political entities,,provinces,,
2015.a.2.2.6,,,,,,,states (political divisions),,independent sovereign nations,,,,
2015.a.2.2.6,,,,,,,,Europe,continents,,,,
2015.a.2.2.6,,,,,,,,World,areas (geography),,,,
2015.a.2.2.6,,,,,,,,,facets (controlled vocabulary),,,,
2015.a.2.2.7,tossup + bonus,,,,,,,,,,,,
2015.a.2.2.8,tossup + bonus,Canada,primary political entities,North and Central America,continents,Paris,inhabited places,Île-de-France,,,,,
2015.a.2.2.8,,,,,,,department capitals,France,primary political entities,,,,
2015.a.2.2.8,,,,,,,cities,,republics,,,,
2015.a.2.2.8,,,,,,,national capitals,,empires (sovereign states),,,,
2015.a.2.2.8,,,,,,,educational centers (buildings),,nations,,,,
2015.a.2.2.8,,,,,,,commercial centers (inhabited places),,independent political entities,,,,
2015.a.2.2.8,,,,,,,episcopal sees,,independent sovereign nations,,,,
2015.a.2.2.8,,,,,,,cultural centers (buildings),,monarchies,,,,
2015.a.2.2.8,,,,,,,countships,Europe,continents,,,,
2015.a.2.2.8,,,,,,,financial centers,World,areas (geography),,,,
2015.a.2.2.8,,,,,,,industrial centers (inhabited places),,facets (controlled vocabulary),,,,
2015.a.2.2.8,,,,,,,transportation centers (inhabited places),,,,,,
2015.a.2.2.8,,,,,,,pilgrimage centers,,,,,,
2015.a.2.2.8,,,,,,,ports (settlements),,,,,,
2015.a.2.2.8,,,,,,,tourist centers,,,,,,
2015.a.2.2.8,,,,,,,trade centers,,,,,,
2015.a.2.2.8,,Canada,nations,World,areas (geography),,,,,,,,
2015.a.2.2.8,,,independent political entities,,facets (controlled vocabulary),,,,,,,,
2015.a.2.2.8,,,independent sovereign nations,,,,,,,,,,
2015.a.2.3.lightning.1.1,lightning,Cuba,primary political entities,North and Central America,continents,,,,,,,,
2015.a.2.3.lightning.1.1,,,island nations,World,areas (geography),,,,,,,,
2015.a.2.3.lightning.1.1,,,republics,,facets (controlled vocabulary),,,,,,,,
2015.a.2.3.lightning.1.1,,,nations,,,,,,,,,,
2015.a.2.3.lightning.1.1,,,independent political entities,,,,,,,,,,
2015.a.2.3.lightning.1.1,,,independent sovereign nations,,,,,,,,,,
2015.a.2.3.lightning.1.2,lightning,Cuba,primary political entities,North and Central America,continents,,,,,,,,
2015.a.2.3.lightning.1.2,,,island nations,World,areas (geography),,,,,,,,
2015.a.2.3.lightning.1.2,,,republics,,facets (controlled vocabulary),,,,,,,,
2015.a.2.3.lightning.1.2,,,nations,,,,,,,,,,
2015.a.2.3.lightning.1.2,,,independent political entities,,,,,,,,,,
2015.a.2.3.lightning.1.2,,,independent sovereign nations,,,,,,,,,,
2015.a.2.3.lightning.1.3,lightning,Cuba,primary political entities,North and Central America,continents,,,,,,,,
2015.a.2.3.lightning.1.3,,,island nations,World,areas (geography),,,,,,,,
2015.a.2.3.lightning.1.3,,,republics,,facets (controlled vocabulary),,,,,,,,
2015.a.2.3.lightning.1.3,,,nations,,,,,,,,,,
2015.a.2.3.lightning.1.3,,,independent political entities,,,,,,,,,,
2015.a.2.3.lightning.1.3,,,independent sovereign nations,,,,,,,,,,
2015.a.2.3.lightning.1.4,lightning,,,,,,,,,,,,
2015.a.2.3.lightning.1.5,lightning,United States,primary political entities,North and Central America,continents,Cuba,primary political entities,North and Central America,continents,,,,
2015.a.2.3.lightning.1.5,,,,,,,island nations,World,areas (geography),,,,
2015.a.2.3.lightning.1.5,,,,,,,republics,,facets (controlled vocabulary),,,,
2015.a.2.3.lightning.1.5,,,,,,,nations,,,,,,
2015.a.2.3.lightning.1.5,,,,,,,independent political entities,,,,,,
2015.a.2.3.lightning.1.5,,,,,,,independent sovereign nations,,,,,,
2015.a.2.3.lightning.1.5,,United States,nations,World,areas (geography),,,,,,,,
2015.a.2.3.lightning.1.5,,,independent political entities,,facets (controlled vocabulary),,,,,,,,
2015.a.2.3.lightning.1.5,,,independent sovereign nations,,,,,,,,,,
2015.a.2.3.lightning.1.6,lightning,,,,,,,,,,,,
2015.a.2.3.lightning.1.7,lightning,,,,,,,,,,,,
2015.a.2.3.lightning.1.8,lightning,United States,primary political entities,North and Central America,continents,Cuba,primary political entities,North and Central America,continents,,,,
2015.a.2.3.lightning.1.8,,,,,,,island nations,World,areas (geography),,,,
2015.a.2.3.lightning.1.8,,,,,,,republics,,facets (controlled vocabulary),,,,
2015.a.2.3.lightning.1.8,,,,,,,nations,,,,,,
2015.a.2.3.lightning.1.8,,,,,,,independent political entities,,,,,,
2015.a.2.3.lightning.1.8,,,,,,,independent sovereign nations,,,,,,
2015.a.2.3.lightning.1.8,,United States,nations,World,areas (geography),,,,,,,,
2015.a.2.3.lightning.1.8,,,independent political entities,,facets (controlled vocabulary),,,,,,,,
2015.a.2.3.lightning.1.8,,,independent sovereign nations,,,,,,,,,,
2015.a.2.3.lightning.2.1,lightning,Massachusetts,first level subdivisions (political entities),United States,primary political entities,,,,,,,,
2015.a.2.3.lightning.2.1,,,,,nations,,,,,,,,
2015.a.2.3.lightning.2.1,,,,,independent political entities,,,,,,,,
2015.a.2.3.lightning.2.1,,,,,independent sovereign nations,,,,,,,,
2015.a.2.3.lightning.2.1,,,states (political divisions),North and Central America,continents,,,,,,,,
2015.a.2.3.lightning.2.1,,,,World,areas (geography),,,,,,,,
2015.a.2.3.lightning.2.1,,,,,facets (controlled vocabulary),,,,,,,,
2015.a.2.3.lightning.2.1,,,,,,,,,,,,,
2015.a.2.3.lightning.2.1,,,,,,,,,,,,,
2015.a.2.3.lightning.2.1,,,,,,,,,,,,,
2015.a.2.3.lightning.2.2,lightning,,,,,,,,,,,,
2015.a.2.3.lightning.2.3,lightning,Yorktown,inhabited places,York,,,,,,,,,
2015.a.2.3.lightning.2.3,,,,Virginia,,,,,,,,,
2015.a.2.3.lightning.2.3,,,,United States,primary political entities,,,,,,,,
2015.a.2.3.lightning.2.3,,,,,nations,,,,,,,,
2015.a.2.3.lightning.2.3,,,,,independent political entities,,,,,,,,
2015.a.2.3.lightning.2.3,,,,,independent sovereign nations,,,,,,,,
2015.a.2.3.lightning.2.3,,,,North and Central America,continents,,,,,,,,
2015.a.2.3.lightning.2.3,,,,World,areas (geography),,,,,,,,
2015.a.2.3.lightning.2.3,,,,,facets (controlled vocabulary),,,,,,,,
2015.a.2.3.lightning.2.3,,,,,,,,,,,,,
2015.a.2.3.lightning.2.3,,,,,,,,,,,,,
2015.a.2.3.lightning.2.3,,,,,,,,,,,,,
2015.a.2.3.lightning.2.4,lightning,West Point,inhabited places,Orange,,,,,,,,,
2015.a.2.3.lightning.2.4,,,,New York,,,,,,,,,
2015.a.2.3.lightning.2.4,,,,United States,primary political entities,,,,,,,,
2015.a.2.3.lightning.2.4,,,,,nations,,,,,,,,
2015.a.2.3.lightning.2.4,,,,,independent political entities,,,,,,,,
2015.a.2.3.lightning.2.4,,,,,independent sovereign nations,,,,,,,,
2015.a.2.3.lightning.2.4,,,,North and Central America,continents,,,,,,,,
2015.a.2.3.lightning.2.4,,,,World,areas (geography),,,,,,,,
2015.a.2.3.lightning.2.4,,,,,facets (controlled vocabulary),,,,,,,,
2015.a.2.3.lightning.2.4,,,,,,,,,,,,,
2015.a.2.3.lightning.2.4,,,,,,,,,,,,,
2015.a.2.3.lightning.2.4,,,,,,,,,,,,,
2015.a.2.3.lightning.2.4,,,,,,,,,,,,,
2015.a.2.3.lightning.2.5,lightning,Camden,inhabited places,Kershaw,,,,,,,,,
2015.a.2.3.lightning.2.5,,,,South Carolina,,,,,,,,,
2015.a.2.3.lightning.2.5,,,,United States,primary political entities,,,,,,,,
2015.a.2.3.lightning.2.5,,,,,nations,,,,,,,,
2015.a.2.3.lightning.2.5,,,,,independent political entities,,,,,,,,
2015.a.2.3.lightning.2.5,,,,,independent sovereign nations,,,,,,,,
2015.a.2.3.lightning.2.5,,,,North and Central America,continents,,,,,,,,
2015.a.2.3.lightning.2.5,,,,World,areas (geography),,,,,,,,
2015.a.2.3.lightning.2.5,,,,,facets (controlled vocabulary),,,,,,,,
2015.a.2.3.lightning.2.6,lightning,,,,,,,,,,,,
2015.a.2.3.lightning.2.7,lightning,Rhode Island,first level subdivisions (political entities),United States,primary political entities,,,,,,,,
2015.a.2.3.lightning.2.7,,,,,nations,,,,,,,,
2015.a.2.3.lightning.2.7,,,,,independent political entities,,,,,,,,
2015.a.2.3.lightning.2.7,,,,,independent sovereign nations,,,,,,,,
2015.a.2.3.lightning.2.7,,,states (political divisions),North and Central America,continents,,,,,,,,
2015.a.2.3.lightning.2.7,,,,World,areas (geography),,,,,,,,
2015.a.2.3.lightning.2.7,,,,,facets (controlled vocabulary),,,,,,,,
2015.a.2.3.lightning.2.7,,,,,,,,,,,,,
2015.a.2.3.lightning.2.7,,,,,,,,,,,,,
2015.a.2.3.lightning.2.7,,,,,,,,,,,,,
2015.a.2.3.lightning.2.8,lightning,South Carolina,first level subdivisions (political entities),United States,primary political entities,,,,,,,,
2015.a.2.3.lightning.2.8,,,,,nations,,,,,,,,
2015.a.2.3.lightning.2.8,,,,,independent political entities,,,,,,,,
2015.a.2.3.lightning.2.8,,,,,independent sovereign nations,,,,,,,,
2015.a.2.3.lightning.2.8,,,states (political divisions),North and Central America,continents,,,,,,,,
2015.a.2.3.lightning.2.8,,,,World,areas (geography),,,,,,,,
2015.a.2.3.lightning.2.8,,,,,facets (controlled vocabulary),,,,,,,,
2015.a.2.3.lightning.2.8,,,,,,,,,,,,,
2015.a.2.3.lightning.2.8,,,,,,,,,,,,,
2015.a.2.3.lightning.2.8,,,,,,,,,,,,,
2015.a.2.3.lightning.3.1,lightning,,,,,,,,,,,,
2015.a.2.3.lightning.3.2,lightning,,,,,,,,,,,,
2015.a.2.3.lightning.3.3,lightning,,,,,,,,,,,,
2015.a.2.3.lightning.3.4,lightning,,,,,,,,,,,,
2015.a.2.3.lightning.3.5,lightning,Peru,primary political entities,South America,continents,,,,,,,,
2015.a.2.3.lightning.3.5,,,republics,World,areas (geography),,,,,,,,
2015.a.2.3.lightning.3.5,,,nations,,facets (controlled vocabulary),,,,,,,,
2015.a.2.3.lightning.3.5,,,independent political entities,,,,,,,,,,
2015.a.2.3.lightning.3.5,,,independent sovereign nations,,,,,,,,,,
2015.a.2.3.lightning.3.6,lightning,Rhodesia,general regions,Africa,continents,,,,,,,,
2015.a.2.3.lightning.3.6,,,,,inhabited places,,,,,,,,
2015.a.2.3.lightning.3.6,,,,World,areas (geography),,,,,,,,
2015.a.2.3.lightning.3.6,,,,,facets (controlled vocabulary),,,,,,,,
2015.a.2.3.lightning.3.6,,,,,,,,,,,,,
2015.a.2.3.lightning.3.7,lightning,Jordan,primary political entities,Asia,continents,,,,,,,,
2015.a.2.3.lightning.3.7,,,former territories/colonies/dependent states,World,areas (geography),,,,,,,,
2015.a.2.3.lightning.3.7,,,nations,,facets (controlled vocabulary),,,,,,,,
2015.a.2.3.lightning.3.7,,,independent political entities,,,,,,,,,,
2015.a.2.3.lightning.3.7,,,independent sovereign nations,,,,,,,,,,
2015.a.2.3.lightning.3.7,,,mandates,,,,,,,,,,
2015.a.2.3.lightning.3.7,,,kingdoms (political administrative bodies),,,,,,,,,,
2015.a.2.3.lightning.3.7,,,territories,,,,,,,,,,
2015.a.2.3.lightning.3.8,lightning,Saint Louis City,second level subdivisions (political entities),Missouri,,,,,,,,,
2015.a.2.3.lightning.3.8,,,independent cities,United States,primary political entities,,,,,,,,
2015.a.2.3.lightning.3.8,,,,,nations,,,,,,,,
2015.a.2.3.lightning.3.8,,,,,independent political entities,,,,,,,,
2015.a.2.3.lightning.3.8,,,,,independent sovereign nations,,,,,,,,
2015.a.2.3.lightning.3.8,,,,North and Central America,continents,,,,,,,,
2015.a.2.3.lightning.3.8,,,,World,areas (geography),,,,,,,,
2015.a.2.3.lightning.3.8,,,,,facets (controlled vocabulary),,,,,,,,
2015.a.2.3.lightning.3.8,,,,,,,,,,,,,
2015.a.2.3.lightning.3.8,,,,,,,,,,,,,
2015.a.2.3.lightning.3.8,,,,,,,,,,,,,
2015.a.2.3.lightning.3.8,,,,,,,,,,,,,
2015.a.2.4.1,tossup,,,,,,,,,,,,
2015.a.2.4.2,tossup,,,,,,,,,,,,
2015.a.2.4.3,tossup,London,river ports,Greater London,,,,,,,,,
2015.a.2.4.3,,,inhabited places,England,,,,,,,,,
2015.a.2.4.3,,,county seats,United Kingdom,primary political entities,,,,,,,,
2015.a.2.4.3,,,,,nations,,,,,,,,
2015.a.2.4.3,,,,,independent political entities,,,,,,,,
2015.a.2.4.3,,,,,independent sovereign nations,,,,,,,,
2015.a.2.4.3,,,,,constitutional monarchies,,,,,,,,
2015.a.2.4.3,,,Romano-British,Europe,continents,,,,,,,,
2015.a.2.4.3,,,capitals (seats of government),World,areas (geography),,,,,,,,
2015.a.2.4.3,,,cities,,facets (controlled vocabulary),,,,,,,,
2015.a.2.4.3,,,manufacturing centers,,,,,,,,,,
2015.a.2.4.3,,,national capitals,,,,,,,,,,
2015.a.2.4.3,,,provincial capitals,,,,,,,,,,
2015.a.2.4.3,,,episcopal sees,,,,,,,,,,
2015.a.2.4.3,,,cultural centers (buildings),,,,,,,,,,
2015.a.2.4.3,,,industrial centers (inhabited places),,,,,,,,,,
2015.a.2.4.3,,,Roman (ancient Italian culture or period),,,,,,,,,,
2015.a.2.4.3,,,tourist centers,,,,,,,,,,
2015.a.2.4.3,,,trade centers,,,,,,,,,,
2015.a.2.4.3,,,,,,,,,,,,,
2015.a.2.4.3,,,,,,,,,,,,,
2015.a.2.4.3,,,,,,,,,,,,,
2015.a.2.4.3,,,,,,,,,,,,,
2015.a.2.4.4,tossup,United States,primary political entities,North and Central America,continents,,,,,,,,
2015.a.2.4.4,,,nations,World,areas (geography),,,,,,,,
2015.a.2.4.4,,,independent political entities,,facets (controlled vocabulary),,,,,,,,
2015.a.2.4.4,,,independent sovereign nations,,,,,,,,,,
2015.a.2.4.5,tossup,Iran,primary political entities,Asia,continents,Guatemala,primary political entities,North and Central America,continents,,,,
2015.a.2.4.5,,,,,,,colonies,World,areas (geography),,,,
2015.a.2.4.5,,,,,,,republics,,facets (controlled vocabulary),,,,
2015.a.2.4.5,,,,,,,nations,,,,,,
2015.a.2.4.5,,,,,,,independent political entities,,,,,,
2015.a.2.4.5,,,,,,,independent sovereign nations,,,,,,
2015.a.2.4.5,,Iran,republics,World,areas (geography),,,,,,,,
2015.a.2.4.5,,,empires (sovereign states),,facets (controlled vocabulary),,,,,,,,
2015.a.2.4.5,,,nations,,,,,,,,,,
2015.a.2.4.5,,,independent political entities,,,,,,,,,,
2015.a.2.4.5,,,independent sovereign nations,,,,,,,,,,
2015.a.2.4.6,tossup,,,,,,,,,,,,
2015.a.2.4.7,tossup,,,,,,,,,,,,
2015.a.2.4.8,tossup,,,,,Rome,inhabited places,Roma,,,,,
2015.a.2.4.8,,,,,,,administrative centers,Lazio,,,,,
2015.a.2.4.8,,,,,,,Paleolithic,Italy,primary political entities,,,,
2015.a.2.4.8,,,,,,,archaeological sites,,inhabited regions,,,,
2015.a.2.4.8,,,,,,,cities,,republics,,,,
2015.a.2.4.8,,,,,,,national capitals,,nations,,,,
2015.a.2.4.8,,,,,,,Neolithic,,independent political entities,,,,
2015.a.2.4.8,,,,,,,commercial centers (inhabited places),,independent sovereign nations,,,,
2015.a.2.4.8,,,,,,,provincial capitals,,dictatorships,,,,
2015.a.2.4.8,,,,,,,regional capitals,,kingdoms (political administrative bodies),,,,
2015.a.2.4.8,,,,,,,Etruscan (culture or style),Europe,continents,,,,
2015.a.2.4.8,,,,,,,cultural centers (buildings),World,areas (geography),,,,
2015.a.2.4.8,,,,,,,religious centers,,facets (controlled vocabulary),,,,
2015.a.2.4.8,,,,,,,industrial centers (inhabited places),,,,,,
2015.a.2.4.8,,,,,,,transportation centers (inhabited places),,,,,,
2015.a.2.4.8,,,,,,,tourist centers,,,,,,
2015.a.3.1.1,tossup,Chicago,inhabited places,Cook,,,,,,,,,
2015.a.3.1.1,,,county seats,Illinois,,,,,,,,,
2015.a.3.1.1,,,inland ports,United States,primary political entities,,,,,,,,
2015.a.3.1.1,,,,,nations,,,,,,,,
2015.a.3.1.1,,,,,independent political entities,,,,,,,,
2015.a.3.1.1,,,,,independent sovereign nations,,,,,,,,
2015.a.3.1.1,,,cities,North and Central America,continents,,,,,,,,
2015.a.3.1.1,,,commercial centers (inhabited places),World,areas (geography),,,,,,,,
2015.a.3.1.1,,,cultural centers (buildings),,facets (controlled vocabulary),,,,,,,,
2015.a.3.1.1,,,political centers,,,,,,,,,,
2015.a.3.1.1,,,industrial centers (inhabited places),,,,,,,,,,
2015.a.3.1.1,,,transportation centers (inhabited places),,,,,,,,,,
2015.a.3.1.1,,,scientific centers (inhabited places),,,,,,,,,,
2015.a.3.1.1,,,university centers (inhabited places),,,,,,,,,,
2015.a.3.1.2,tossup,,,,,,,,,,,,
2015.a.3.1.3,tossup,Manhattan,commercial centers (inhabited places),New York,,,,,,,,,
2015.a.3.1.3,,,cultural centers (buildings),,,,,,,,,,
2015.a.3.1.3,,,entertainment centers (inhabited places),United States,primary political entities,,,,,,,,
2015.a.3.1.3,,,,,nations,,,,,,,,
2015.a.3.1.3,,,,,independent political entities,,,,,,,,
2015.a.3.1.3,,,,,independent sovereign nations,,,,,,,,
2015.a.3.1.3,,,financial centers,North and Central America,continents,,,,,,,,
2015.a.3.1.3,,,boroughs,World,areas (geography),,,,,,,,
2015.a.3.1.3,,,,,facets (controlled vocabulary),,,,,,,,
2015.a.3.1.3,,,,,,,,,,,,,
2015.a.3.1.3,,,,,,,,,,,,,
2015.a.3.1.3,,,,,,,,,,,,,
2015.a.3.1.3,,,,,,,,,,,,,
2015.a.3.1.3,,,,,,,,,,,,,
2015.a.3.1.4,tossup,,,,,,,,,,,,
2015.a.3.1.5,tossup,,,,,,,,,,,,
2015.a.3.1.6,tossup,United States,primary political entities,North and Central America,continents,,,,,,,,
2015.a.3.1.6,,,nations,World,areas (geography),,,,,,,,
2015.a.3.1.6,,,independent political entities,,facets (controlled vocabulary),,,,,,,,
2015.a.3.1.6,,,independent sovereign nations,,,,,,,,,,
2015.a.3.1.7,tossup,,,,,,,,,,,,
2015.a.3.1.8,tossup,,,,,,,,,,,,
2015.a.3.1.9,tossup,,,,,,,,,,,,
2015.a.3.1.10,tossup,,,,,,,,,,,,
2015.a.3.2.1,tossup + bonus,,,,,,,,,,,,
2015.a.3.2.2,tossup + bonus,Great Britain,islands (landforms),United Kingdom,primary political entities,,,,,,,,
2015.a.3.2.2,,,,,nations,,,,,,,,
2015.a.3.2.2,,,,,independent political entities,,,,,,,,
2015.a.3.2.2,,,,,independent sovereign nations,,,,,,,,
2015.a.3.2.2,,,,,constitutional monarchies,,,,,,,,
2015.a.3.2.2,,,,Europe,continents,,,,,,,,
2015.a.3.2.2,,,,World,areas (geography),,,,,,,,
2015.a.3.2.2,,,,,facets (controlled vocabulary),,,,,,,,
2015.a.3.2.2,,,,,,,,,,,,,
2015.a.3.2.2,,,,,,,,,,,,,
2015.a.3.2.2,,,,,,,,,,,,,
2015.a.3.2.2,,,,,,,,,,,,,
2015.a.3.2.3,tossup + bonus,England,areas (geography),United Kingdom,primary political entities,,,,,,,,
2015.a.3.2.3,,,,,nations,,,,,,,,
2015.a.3.2.3,,,,,independent political entities,,,,,,,,
2015.a.3.2.3,,,,,independent sovereign nations,,,,,,,,
2015.a.3.2.3,,,,,constitutional monarchies,,,,,,,,
2015.a.3.2.3,,,first level subdivisions (political entities),Europe,continents,,,,,,,,
2015.a.3.2.3,,,countries (sovereign states),World,areas (geography),,,,,,,,
2015.a.3.2.3,,,kingdoms (political administrative bodies),,facets (controlled vocabulary),,,,,,,,
2015.a.3.2.3,,,,,,,,,,,,,
2015.a.3.2.3,,,,,,,,,,,,,
2015.a.3.2.3,,,,,,,,,,,,,
2015.a.3.2.3,,,,,,,,,,,,,
2015.a.3.2.4,tossup + bonus,Bilbao,inhabited places,Vizcaya,,Spain,primary political entities,Europe,continents,,,,
2015.a.3.2.4,,,,,,,inhabited regions,World,areas (geography),,,,
2015.a.3.2.4,,,,,,,republics,,facets (controlled vocabulary),,,,
2015.a.3.2.4,,,,,,,nations,,,,,,
2015.a.3.2.4,,,,,,,independent political entities,,,,,,
2015.a.3.2.4,,,,,,,independent sovereign nations,,,,,,
