ID,type,q_place_1,q_place_type_1,parent_hierarchy_1,hierarchy_types_1,q_place_2,q_place_type_2,parent_hierarchy_2,hierarchy_types_2,q_place_3plus,q_place_type_3,parent_hierarchy_3,hierarchy_types_3
2014.c.1.2.5,,,,,independent political entities,,,,,,,,facets (controlled vocabulary)
2014.c.1.2.5,,,,,independent sovereign nations,,,,,,,,
2014.c.1.2.5,,,,North and Central America,continents,,,,,,,,
2014.c.1.2.5,,,,World,areas (geography),,,,,,,,
2014.c.1.2.5,,,,,facets (controlled vocabulary),,,,,,,,
2014.c.1.2.6,tossup + bonus,Spain,primary political entities,Europe,continents,Westphalia,historical regions,North Rhine-Westphalia,,,,,
2014.c.1.2.6,,,,,,,duchies,Germany,primary political entities,,,,
2014.c.1.2.6,,,,,,,kingdoms (political administrative bodies),,republics,,,,
2014.c.1.2.6,,,,,,,,,nations,,,,
2014.c.1.2.6,,,,,,,,,independent political entities,,,,
2014.c.1.2.6,,,,,,,,,independent sovereign nations,,,,
2014.c.1.2.6,,,,,,,,Europe,continents,,,,
2014.c.1.2.6,,,,,,,,World,areas (geography),,,,
2014.c.1.2.6,,,,,,,,,facets (controlled vocabulary),,,,
2014.c.1.2.6,,Spain,inhabited regions,World,areas (geography),,,,,,,,
2014.c.1.2.6,,,republics,,facets (controlled vocabulary),,,,,,,,
2014.c.1.2.6,,,nations,,,,,,,,,,
2014.c.1.2.6,,,independent political entities,,,,,,,,,,
2014.c.1.2.6,,,independent sovereign nations,,,,,,,,,,
2014.c.1.2.6,,,constitutional monarchies,,,,,,,,,,
2014.c.1.2.6,,,monarchies,,,,,,,,,,
2014.c.1.2.7,tossup + bonus,Edinburgh,inhabited places,Edinburgh,,,,,,,,,
2014.c.1.2.7,,,capitals (seats of government),Scotland,,,,,,,,,
2014.c.1.2.7,,,cities,United Kingdom,primary political entities,,,,,,,,
2014.c.1.2.7,,,,,nations,,,,,,,,
2014.c.1.2.7,,,,,independent political entities,,,,,,,,
2014.c.1.2.7,,,,,independent sovereign nations,,,,,,,,
2014.c.1.2.7,,,,,constitutional monarchies,,,,,,,,
2014.c.1.2.7,,,educational centers (buildings),Europe,continents,,,,,,,,
2014.c.1.2.7,,,commercial centers (inhabited places),World,areas (geography),,,,,,,,
2014.c.1.2.7,,,regional capitals,,facets (controlled vocabulary),,,,,,,,
2014.c.1.2.7,,,industrial centers (inhabited places),,,,,,,,,,
2014.c.1.2.7,,,,,,,,,,,,,
2014.c.1.2.7,,,,,,,,,,,,,
2014.c.1.2.7,,,,,,,,,,,,,
2014.c.1.2.7,,,,,,,,,,,,,
2014.c.1.2.7,,,,,,,,,,,,,
2014.c.1.2.7,,,,,,,,,,,,,
2014.c.1.2.7,,,,,,,,,,,,,
2014.c.1.2.7,,,,,,,,,,,,,
2014.c.1.2.8,tossup + bonus,Austria,primary political entities,Europe,continents,Germany,primary political entities,Europe,continents,,,,
2014.c.1.2.8,,,,,,,republics,World,areas (geography),,,,
2014.c.1.2.8,,,,,,,nations,,facets (controlled vocabulary),,,,
2014.c.1.2.8,,,,,,,independent political entities,,,,,,
2014.c.1.2.8,,,,,,,independent sovereign nations,,,,,,
2014.c.1.2.8,,Austria,republics,World,areas (geography),,,,,,,,
2014.c.1.2.8,,,empires (sovereign states),,facets (controlled vocabulary),,,,,,,,
2014.c.1.2.8,,,nations,,,,,,,,,,
2014.c.1.2.8,,,independent political entities,,,,,,,,,,
2014.c.1.2.8,,,independent sovereign nations,,,,,,,,,,
2014.c.1.2.8,,,duchies,,,,,,,,,,
2014.c.1.2.8,,,kingdoms (political administrative bodies),,,,,,,,,,
2014.c.1.2.8,,,margraviates,,,,,,,,,,
2014.c.1.3.lightning.1.1,lightning,,,,,,,,,,,,
2014.c.1.3.lightning.1.2,lightning,Syracuse,agricultural centers (inhabited places),Siracusa,,,,,,,,,
2014.c.1.3.lightning.1.2,,,inhabited places,Sicily,,,,,,,,,
2014.c.1.3.lightning.1.2,,,archaeological sites,Italy,primary political entities,,,,,,,,
2014.c.1.3.lightning.1.2,,,,,inhabited regions,,,,,,,,
2014.c.1.3.lightning.1.2,,,,,republics,,,,,,,,
2014.c.1.3.lightning.1.2,,,,,nations,,,,,,,,
2014.c.1.3.lightning.1.2,,,,,independent political entities,,,,,,,,
